INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-12-09 23:03:34.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-12-09 23:03:34.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-12-09 23:03:34.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-12-09 23:03:34.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/dist/solr-clustering-4.6.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-12-09 23:03:34.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-12-09 23:03:34.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/dist/solr-langid-4.6.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-12-09 23:03:34.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-12-09 23:03:34.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.736; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/xinghao/Downloads/solr-4.6.0/dist/solr-velocity-4.6.0.jar' to classloader
INFO  - 2013-12-09 23:03:34.851; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-09 23:03:34.856; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2013-12-09 23:03:34.951; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-09 23:03:34.956; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-09 23:03:35.024; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-09 23:03:35.482; org.apache.solr.schema.IndexSchema; unique key field: id
